Name,Handle/Channel,Platform,Category,Estimated Followers/Subs,Relevance to VibeTree,Profile URL,Outreach Priority (1-5),Notes
Mark Moeykens,@MarkMoeykens,YouTube,SwiftUI,Growing,SwiftUI and design tutorials,https://youtube.com/@markmoeykens,4,SwiftUI design focus
Brian Advent,@BrianAdvent,YouTube,iOS Development,Growing,iOS app development tutorials,https://youtube.com/@brianadvent,3,iOS tutorial audience
Mayank Gupta,,YouTube,AI iOS Building,Growing,"Built iOS app in 10 min with Cursor AI (23.8K views); professional workflow",https://youtube.com,4,Shows exactly the VibeTree use case
Chris Asby,,YouTube,AI iOS Building,Growing,Complete tutorial from setup to App Store publication,https://youtube.com,4,End-to-end iOS + AI content
Lukas Margerie,,YouTube,AI iOS Building,Growing,Built habit tracker in under 1 hour with Xcode + Cursor; no code,https://youtube.com,4,Non-coder iOS building — perfect fit
Volo Builds,@volobuilds,YouTube,Vibe Coding,33.9K YouTube,Perfect Cursor AI Workflow (40.7K views); context engineering,https://youtube.com/@volobuilds,4,Practical AI workflows
No Code MBA,,YouTube,No Code / AI,36.3K YouTube,Multi-tool AI workflow tutorials (Lovable + Cursor),https://youtube.com/@nocodemba,4,No-code audience perfect for VibeTree
AI LABS,,YouTube,AI Development,Growing,Claude Code tutorials and MCP integration guides,https://youtube.com,3,Technical AI dev content
Sam Parr,@theSamParr,YouTube + X,Entrepreneurship,Large,Co-host of My First Million podcast (500K+ weekly listeners),https://x.com/theSamParr,4,Massive entrepreneur audience
Shaan Puri,@ShaanVP,YouTube + X,Entrepreneurship,Large,Co-host of My First Million; startup ideas focus,https://x.com/ShaanVP,4,Startup ideas audience
Ali Abdaal,@AliAbdaal,YouTube,Productivity / Business,8M across platforms,"$5M business; productivity guru; online business courses",https://youtube.com/@aliabdaal,4,Massive audience interested in building things
Pat Flynn,@PatFlynn,YouTube + X,Online Business,1.7M YouTube,"Smart Passive Income; 10M+ TikTok views daily; trusted voice",https://youtube.com/@patflynn,3,Passive income audience would love app building
Andrej Karpathy,@karpathy,X,AI Research,Large X,Ex-Tesla AI director; coined "vibe coding" term,https://x.com/karpathy,4,Coined the term; a VibeTree mention would be huge
Tibo,@tibo_maker,X,Build in Public,182K X,"Product Hunt Maker of Year 2022; $1.4M ARR; multiple AI products",https://x.com/tibo_maker,4,Ships AI products constantly; would understand VibeTree
Danny Postma,@dannypostmaa,X,Indie Hacking,Growing,Sold Headlime for $1M; multiple AI products from Bali,https://x.com/dannypostmaa,4,Serial AI product builder
Daniel Nguyen,@nicedunno,X,Indie Hacking,Growing,"Built BoltAI to $15K/mo; native macOS AI client",https://x.com/nicedunno,4,Builds native AI apps — understands the space
Rob Hallam,@robj3d3,X,Build in Public,Growing,"Built SuperX to $14K MRR by building in public",https://x.com/robj3d3,4,Understands creator-tool affiliate flywheel
Ben Tossell,@bentossell,X + Newsletter,AI Tools Curation,115K+ newsletter,"Runs Ben's Bites; best AI tools curator; trusted by Google/Adobe/Amazon",https://x.com/bentossell,5,Newsletter mention = massive targeted reach
Rowan Cheung,@rowancheung,X,AI News,567K X,"Founder of The Rundown AI newsletter; industry updates",https://x.com/rowancheung,4,Huge AI audience
Simon Willison,@simonw,X,AI Development,Large X,"Datasette creator; LLM CLI tooling pioneer",https://x.com/simonw,3,Developer-focused; technical audience
Swyx,@swyx,X,AI Engineering,Large X,"AI engineer; Latent Space podcast host",https://x.com/swyx,3,AI practitioner community
Matt Shumer,@MattShumer_,X,AI Startups,Large X,"HyperWrite founder; agent architectures",https://x.com/MattShumer_,3,AI builder audience
Linus Ekenstam,@LinusEkenstam,X,AI Creative,Large X,"AI creative director; visual workflows",https://x.com/LinusEkenstam,3,Creative AI audience
Ethan Mollick,@emollick,X,AI Research,Large X,"Wharton professor; studies AI impact on work",https://x.com/emollick,3,Academic/business AI audience
Jim Fan,@DrJimFan,X,AI Research,Large X,"NVIDIA AI researcher; agents and robotics",https://x.com/DrJimFan,3,AI research audience
Yann LeCun,@ylecun,X,AI Research,972K X,"Meta Chief AI Scientist",https://x.com/ylecun,2,Very high profile but less product-focused
Arvid Kahl,@arvidkahl,X,Indie Hacking,Large X,"Author of 'Zero to Sold'; building/selling businesses",https://x.com/arvidkahl,4,Indie business audience
Courtland Allen,@csallen,X,Indie Hacking,Large X,"Founder of Indie Hackers community",https://x.com/csallen,4,Indie Hackers community leader
Patrick McKenzie,@patio11,X,SaaS / Business,Large X,"Stripe employee; SaaS advice",https://x.com/patio11,3,SaaS audience
Sahil Lavingia,@shl,X,Indie Hacking,Large X,"Founder of Gumroad",https://x.com/shl,3,Creator economy audience
Pat Walls,@thepatwalls,X,Indie Hacking,Large X,"Founder of Starter Story; indie interviews",https://x.com/thepatwalls,4,Indie hacker interviews — VibeTree could be featured
Lenny Rachitsky,@lennysan,X + Newsletter,Product/Growth,Large X,"Ex-Airbnb growth; popular newsletter",https://x.com/lennysan,3,Product audience
Steph Smith,@stephsmithio,X,Growth/Marketing,Large X,"Head of Trends.co; marketing insights",https://x.com/stephsmithio,3,Growth audience
Rob Walling,@robwalling,X + Podcast,Bootstrapping,Large X,"MicroConf co-founder; TinySeed; Startups For the Rest of Us podcast",https://x.com/robwalling,4,Bootstrapper audience
Justin Welsh,@thejustinwelsh,X,Solopreneurship,534K X,"Solopreneur brand; personal branding",https://x.com/thejustinwelsh,3,Solopreneur audience — less technical
Dan Koe,@thedankoe,X,Creator Economy,525K X,"Creator economy and solo philosophy",https://x.com/thedankoe,3,Creator audience; could angle "build your own app"
Alex Hormozi,@AlexHormozi,X + YouTube,Business,872K X,"Business models and scaling; massive reach",https://x.com/AlexHormozi,3,Business audience; less tech-focused but huge reach
Katelyn Bourgoin,@KateBour,X,Marketing,136K X,"Marketing psychology and customer research",https://x.com/KateBour,3,Marketing audience
KP,@thisiskp_,X,Build in Public,Growing,"Building in public movement advocate",https://x.com/thisiskp_,3,Build in public community
Yongfook,@yongfook,X,Indie SaaS,Growing,"Creator of Bannerbear; solo SaaS insights",https://x.com/yongfook,3,Solo SaaS builder
Tony Dinh,@tdinh_me,X,Indie Hacking,Growing,"Created BlackMagic, TypingMind, Xnapper",https://x.com/tdinh_me,4,Ships multiple products; would understand VibeTree
Mubashar Iqbal,@mubashariqbal,X,Product Hunt Maker,Growing,"36K+ Product Hunt upvotes; prolific maker",https://x.com/mubashariqbal,3,Product launch community
Nathan Labenz,,Podcast + X,AI,Growing,"Cognitive Revolution podcast; tested Lovable, Bolt, Cursor",https://x.com,4,"Pitch: VibeTree does what these do but for native iOS"
Guillermo Rauch,@raabornyuchg,X,Tech/Startups,Large X,"Vercel CEO; v0 creator; demos AI app building",https://x.com/rauchg,3,v0 does web — VibeTree does iOS; complementary
Shadcn,@shadcn,X,Dev Tools,Large X,"Created shadcn/ui; Vercel v0; AI-assisted components",https://x.com/shadcn,3,Web dev audience; pitch iOS angle
Garry Tan,@garrytan,X,VC / Startups,Large X,"YC CEO; vibe coding advocate; 6x workflow",https://x.com/garrytan,4,YC CEO endorsement = game-changing
Nick Saraev,@nicksabornyaev,YouTube,AI Automation,Growing,"$72K-$300K/mo AI automation agency; Make.com/n8n workflows",https://youtube.com/@nicksaraev,3,AI automation audience
Liam Ottley,@liabornymabornytt,YouTube,AI Automation,Growing,"$100K/mo+ AI automation agency; tool recommendations",https://youtube.com/@liamottley,3,AI agency audience
Adrian Ching,@adrianching,YouTube,No Code,Growing,"Content for non-tech founders; no-code app builder reviews",https://youtube.com/@adrianching,4,Non-tech founder audience — ideal for VibeTree
James NoCode,,YouTube,No Code,52K YouTube,"Explores FlutterFlow, Bubble, Glide; no-code tutorials",https://youtube.com,4,No-code audience looking for better tools
Mikey No Code,@Mikey.Nocode,YouTube,No Code / AI,Growing,"AI-powered no-code app building; Lovable/Base44 content",https://youtube.com/@Mikey.Nocode,4,Already covers AI app builders
Alim (Ambitious Labs),,YouTube,No Code,Growing,"Leading no-code academy; 450+ entrepreneurs trained; FlutterFlow focus",https://youtube.com,3,No-code education audience
Nate Gold,@nategold.ai,TikTok,AI Builder,108K TikTok,"AI tools, ChatGPT, AI agencies, building in public",https://tiktok.com/@nategold.ai,4,Large TikTok AI audience
Marcin AI,@marcinteodoru,TikTok,AI / No Code,Growing,"Cloned $20M AI app with Replit; no code; viral TikTok",https://tiktok.com/@marcinteodoru,4,Non-coder audience — perfect VibeTree demo
Gazi,@gazi.ai,TikTok,Tech / Coding,610K TikTok,"Software engineer; career insights; FAANG interviews",https://tiktok.com/@gazi.ai,3,Large tech TikTok audience
ThePrimeagen,@theprimeagen,TikTok + YouTube,Programming,39.7K TikTok,"Programming humor; web dev; viral content",https://tiktok.com/@theprimeagen,3,Dev humor audience
Allen Tran,@allenvert,TikTok,Tech,131.8K TikTok,"Software engineer; career/tech/finance; high engagement",https://tiktok.com/@allenvert,3,Tech career audience
Asher,@asherintech,TikTok,Tech / Coding,54.5K TikTok,"Tech and coding content creator",https://tiktok.com/@asherintech,3,Coding audience
Bashi,@bashifuirkashi,TikTok,Tech,51.3K TikTok,"Software engineer; earning $100K+ strategies",https://tiktok.com/@bashifuirkashi,3,Aspirational tech audience
Timothy Bramlett,@timothybbramlett,LinkedIn + X,AI App Building,Growing,"Built AI image generator app with zero mobile dev experience; viral LinkedIn post",https://linkedin.com/in/timothybbramlett,4,Living proof of VibeTree's value prop
Dan Norris,@dannorris,Blog + X,Vibe Coding,Growing,"Built native iPhone app with Claude Code; App Store approval; detailed blog post",https://x.com/dannorris,4,Writes detailed how-tos; could feature VibeTree
Ran Segall,@FluxAcademy,YouTube,Design,1.01M YouTube,"Flux Academy; UI/UX, design systems, AI-driven design",https://youtube.com/@FluxWithRanSegall,3,"Design audience; pitch: design your app idea visually"
Wes McDowell,@WesMcDowell,YouTube,Web Design,426K YouTube,"Website redesigns; UX/UI logic breakdowns",https://youtube.com/@wesmcdowell,3,Design audience
Juxtopposed,@juxtopposed,YouTube,UI Design,Growing,"YouTube UI redesign (1.6M views); Figma design content",https://youtube.com/@juxtopposed,3,Design-focused audience
DesignCourse,@DesignCourse,YouTube,Design / Dev,Growing,"Design and development tutorials; Figma focus",https://youtube.com/@designcourse,3,Design + dev audience
Academind,@acabornyademind,YouTube,Web Dev,855K YouTube,"In-depth tutorials on React, Angular, Vue, Node",https://youtube.com/@academind,3,Web dev audience
Codevolution,@Codevolution,YouTube,Web Dev,620K YouTube,"React and TypeScript tutorials; practical examples",https://youtube.com/@codevolution,3,React/TypeScript audience
Android Developers,,YouTube,Mobile Dev,1.4M YouTube,"Official Android channel; best practices",https://youtube.com/@AndroidDevelopers,2,Android-focused but mobile dev community
Flutter,,YouTube,Mobile Dev,377K YouTube,"Official Flutter channel; 500+ videos",https://youtube.com/@FlutterDev,2,Cross-platform mobile dev audience
Coding with Mitch,,YouTube,Mobile Dev,132K YouTube,"Android app tutorials; weekly uploads",https://youtube.com/@codingwithmitch,3,Mobile dev audience
Reso Coder,,YouTube,Mobile Dev,111K YouTube,"Flutter and app dev; 200+ videos",https://youtube.com/@resocoder,3,Flutter/mobile dev audience
Jordi Bruin,@jordibruin,X,Indie iOS Dev,Growing,"Indie iOS dev; Soosee, Unmute apps; Amsterdam-based",https://x.com/jordibruin,4,Indie iOS dev with shipped apps
Hidde van der Ploeg,@hiddevdploeg,X,Indie iOS Dev,Growing,"Indie iOS dev; Vekt, Brush, Helm apps; design-focused",https://x.com/hiddevdploeg,4,Design-focused iOS indie dev
Pol Piella,@polpielladev,X,Indie iOS Dev,Growing,"iOS dev; Helm for App Store Connect; NowPlaying, QReate",https://x.com/polpielladev,3,iOS dev community
Majid Jabrayilov,@mecid,X,Swift Dev,Growing,"Swift developer; CardioBot app; weekly Swift posts",https://x.com/mecid,3,Swift developer community
Peter Friese,@peterfriese,X,iOS / Firebase,Growing,"Developer advocate; Firebase + iOS content",https://x.com/peterfriese,3,Firebase + iOS crossover
Kent C. Dodds,@kentcdodds,X,React / Web Dev,299K X,"Epic React workshops; React 19 expert; testing advocate",https://x.com/kentcdodds,3,Large React dev audience
Dan Abramov,@dan_abramov,X,React,Large X,"Redux co-author; React Hooks pioneer; Meta core team",https://x.com/dan_abramov,2,Very technical; less product-focused
Wes Bos,@wesbos,X + Podcast,JavaScript,Large X,"Full-stack JS developer; Syntax podcast co-host; courses",https://x.com/wesbos,3,JS dev audience
The Metaverse Guy,,YouTube,AI Coding,173K YouTube,"Project-based AI coding content",https://youtube.com,3,AI coding audience
AI with Avthar,,YouTube,AI Tools,15.2K YouTube,"Covers Claude Code, Cursor, Replit, v0",https://youtube.com,4,Directly reviews AI coding tools
AI Unleashed,,YouTube,AI / Cursor,11.3K YouTube,"Cursor and AI monetization focus",https://youtube.com,4,AI monetization angle
Masynctech,,YouTube,Vibe Coding,10K YouTube,"Specialized in vibe coding and full-stack development",https://youtube.com,4,Pure vibe coding content
Jupiter and the Giraffe,,YouTube,AI Tools,Growing,"Compared Replit, Lovable, and Cursor",https://youtube.com,3,AI tool comparison content
Cursor AI,,YouTube,AI Dev Tools,51K YouTube,"Official Cursor channel",https://youtube.com/@cursor_ai,3,AI dev tools audience
Aravind Srinivas,@AravSrinivas,X,AI,322K X,"CEO of Perplexity AI",https://x.com/AravSrinivas,2,AI industry leader
Gary Marcus,@GaryMarcus,X,AI Ethics,197.7K X,"AI ethics and cognitive science expert",https://x.com/GaryMarcus,2,AI thought leadership
Hardmaru,@hardmaru,X,AI Research,Large X,"Google Brain researcher",https://x.com/hardmaru,2,AI research community
Yolanda Gil,@yabornylagil,X,AI Research,Growing,"AI researcher and educator",https://x.com,2,AI academic community
Mac Martine,@macabornyartine,X,AI Tools,Growing,"Built RalphBlaster; tweet went viral (250K views); autonomous coding agent",https://x.com,4,Built AI dev tool that went viral
Lewis (Audio Pen),,X,Build in Public,Growing,"Built Audio Pen to $15K MRR in 12 hours; halfday build framework",https://x.com,4,Rapid builder — would love VibeTree
Rosie Sherry,@rosiesherry,X,Community,Growing,"Community builder; Ministry of Testing founder",https://x.com/rosiesherry,2,Community-focused
Justin Jackson,@mijabornyustin,X + Podcast,SaaS,Growing,"Co-founder Transistor.fm; Build Your SaaS podcast",https://x.com/mijustin,3,SaaS builder audience
Jon Buda,@jonabornybuda,X + Podcast,SaaS,Growing,"Co-founder Transistor.fm; Build Your SaaS podcast",https://x.com/jonbuda,3,SaaS builder audience
Flux (Ran Segall),@ransegall,X,Design,Growing,"Flux Academy founder; design education",https://x.com/ransegall,3,Design education audience
Rebeloper,,YouTube,iOS Dev,Growing,"iOS development tutorials and tips",https://youtube.com/@rebeloper,3,iOS dev audience
David Tran,,YouTube,iOS Dev,Growing,"iOS development content creator",https://youtube.com,3,iOS dev audience
Brian Advent,,YouTube,iOS Dev,Growing,"iOS and macOS development tutorials",https://youtube.com/@brianadvent,3,iOS dev audience
Hacking with Swift Community,,YouTube + Forum,SwiftUI,Large,"Paul Hudson's community forum for Swift/SwiftUI learners",https://hackingwithswift.com,4,Engaged SwiftUI learning community
SwiftUI Lab,,Blog + X,SwiftUI,Growing,"Advanced SwiftUI articles and experiments",https://x.com,3,Advanced SwiftUI developers
Donny Wals,@donnywals,X + Blog,iOS Dev,Growing,"iOS developer; author; Core Data/SwiftUI content",https://x.com/donnywals,3,iOS dev educator
Antoine van der Lee,@twannl,X + Blog,iOS Dev,Growing,"SwiftLee blog; iOS development articles",https://x.com/twannl,3,iOS dev blog audience
John Sundell,@johnsundell,X,Swift,Large X,"Swift by Sundell; Publish framework creator",https://x.com/johnsundell,4,Large Swift community following
Kaya Thomas,@kabornyathomas,X,iOS Dev,Growing,"iOS developer; We Read Too app creator",https://x.com/kabornyathomas,3,iOS dev community
Marin Todorov,@icanzilb,X,iOS Dev,Growing,"Author of RxSwift book; iOS development",https://x.com/icanzilb,3,iOS dev community
Vincent Pradeilles,@v_pradeilles,YouTube + X,iOS Dev,Growing,"iOS development content; advanced Swift topics",https://youtube.com,3,Advanced Swift audience
Stewart Lynch,@StewartLynch,YouTube,SwiftUI,Growing,"SwiftUI tutorials and project walkthroughs",https://youtube.com/@stewartlynch,3,SwiftUI tutorial audience
Azam Sharp,@azamsharp,YouTube,SwiftUI,Growing,"SwiftUI and iOS development education",https://youtube.com/@azamsharp,3,SwiftUI education audience
Swiftful Thinking,@SwiftfulThink,YouTube,SwiftUI,Growing,"SwiftUI tutorials from beginner to advanced",https://youtube.com/@swiftfulthinking,3,SwiftUI learning audience
Mohammad Azam,,YouTube,iOS Dev,Growing,"iOS and SwiftUI tutorials; course creator",https://youtube.com,3,iOS education audience
Tunde Adegoroye,,YouTube + Blog,iOS Dev,Growing,"iOS tutorials; conference speaker",https://youtube.com,3,iOS dev community
Indently,,YouTube,Python/Coding,Growing,"Programming tutorials; Python focus; growing fast",https://youtube.com/@indently,2,General coding audience
NetworkChuck,@NetworkChuck,YouTube,Tech,Large YouTube,"Tech tutorials; cybersecurity; beginner-friendly; very entertaining",https://youtube.com/@networkchuck,2,Large tech audience
TechLead,@TechLead,YouTube,Tech/Coding,Large YouTube,"Ex-Google/Facebook tech lead; programming content",https://youtube.com/@techlead,2,Tech audience
Joma Tech,@JomaTech,YouTube,Tech/Comedy,Large YouTube,"Tech comedy and career content",https://youtube.com/@jomatech,2,Tech entertainment audience
Aaron Jack,,YouTube,Coding,Growing,"Learn to code in months; career-focused",https://youtube.com/@aaronjack,3,Career changers — ideal VibeTree audience
Kenny Gunderman,@kennygabornyund,YouTube,iOS Dev,Growing,"iOS development content and tutorials",https://youtube.com,3,iOS dev audience
Replit,@reabornyplit,X,AI Platform,Large X,"AI app builder platform; competitor but potential partner",https://x.com/replit,2,Competitor — watch their influencer network
Lovable,@Lovable,X,AI Platform,128.7K X,"AI app builder; $200M ARR; Anthropic partnership",https://x.com/Lovable,2,Competitor — study their influencer partnerships
Bolt (StackBlitz),@stackblitz,X,AI Platform,Large X,"$20M ARR in 2 months; $105M+ raised",https://x.com/stackblitz,2,Competitor — note which creators they sponsor
Vercel v0,@v0,X,AI Platform,Large X,"AI web app generator by Vercel",https://x.com/v0,2,"Competitor for web; VibeTree differentiates with iOS"
Anthropic,@AnthropicAI,X,AI Company,Large X,"Claude AI creator; could be strategic partner",https://x.com/AnthropicAI,3,Strategic — VibeTree is powered by Claude
TLDR Newsletter,,Newsletter,Tech/AI,Large,"Tech and AI newsletter; daily digest",https://tldr.tech,3,Large tech newsletter audience
The Pragmatic Engineer,@GergabornylyOrosz,X + Newsletter,Engineering,Large,"Engineering management and tech industry",https://x.com/GergelyOrosz,2,Engineering audience
Dan Shipper,@danshipper,X,AI / Business,Growing,"Every.to co-founder; AI and business writing",https://x.com/danshipper,3,AI business audience
Kipp Bodnar,@kabornyppbod,X,Marketing,Growing,"HubSpot CMO; marketing technology",https://x.com,2,Marketing tech audience
Y Combinator,@ycombinator,X,Startups,Large X,"Startup accelerator; demo day; huge influence",https://x.com/ycombinator,3,Startup ecosystem
Product Hunt,@ProductHunt,X,Product Launch,Large X,"Product launch platform; maker community",https://x.com/ProductHunt,3,Product launch audience
Indie Hackers,@IndieHackers,X,Indie Community,Large X,"Indie hacker community; stories and discussions",https://x.com/IndieHackers,4,Core indie builder community
Hacker News,,Forum,Tech,Large,"YC's tech forum; front page = massive traffic",https://news.ycombinator.com,3,Tech-savvy audience
AppFigures,@appfigures,X,App Analytics,Growing,"App Store analytics; indie dev tools",https://x.com/appfigures,3,App developer audience
RevenueCat,@RevenueCat,X,App Monetization,Growing,"In-app subscription infrastructure",https://x.com/RevenueCat,3,App monetization audience — devs who want revenue
Ship Your App,,YouTube,iOS Business,Growing,"Business side of iOS app development",https://youtube.com,3,iOS business audience
Launched.fm,,Podcast,Indie Apps,Growing,"Podcast featuring indie app developers and their launch stories",https://launchedfm.com,4,Indie app launch audience
Under the Radar,,Podcast,Indie iOS,Growing,"Podcast about indie iOS development",https://youtube.com,3,Indie iOS dev audience
Swift News,,YouTube / Podcast,iOS Dev,Growing,"iOS development news and updates",https://youtube.com,3,iOS dev news audience
iOS Dev Weekly,@iOSDevWeekly,Newsletter,iOS Dev,Large,"Weekly iOS development newsletter by Dave Verwer",https://iosdevweekly.com,4,iOS dev newsletter — sponsored placement
Swift Weekly Brief,,Newsletter,Swift,Growing,"Weekly Swift language updates and community news",https://swiftweekly.github.io,3,Swift community
AppCoda,@appabornyda,YouTube + Blog,iOS Dev,Growing,"iOS development tutorials and books",https://youtube.com/@appcoda,3,iOS education
Ray Wenderlich / Kodeco,,Website + YouTube,Mobile Dev,Large,"Mobile dev tutorials; now Kodeco; large community",https://kodeco.com,3,Mobile dev education community
DevTechie,,YouTube,iOS Dev,Growing,"iOS and SwiftUI development tutorials",https://youtube.com/@devtechie,3,SwiftUI tutorial audience
Swiftful Thinking Community,,YouTube,SwiftUI,Growing,"Community around SwiftUI learning",https://youtube.com,3,SwiftUI community
CodePal,,YouTube,AI Coding,Growing,"AI-assisted coding tutorials",https://youtube.com,3,AI coding audience
AIJason,,YouTube,AI Tools,Growing,"AI tools and automation tutorials",https://youtube.com/@aijason,3,AI tools audience
Brett (DesignCourse),@designcoursecom,YouTube,Design/Dev,Large YouTube,"UI/UX design and web development",https://youtube.com/@designcourse,3,Design + dev crossover
Kevin Powell,@KevinJPowell,YouTube,CSS/Web,Large YouTube,"CSS specialist; web design tutorials",https://youtube.com/@kevinpowell,2,Web design audience
Coder Coder,@coderabornycode,YouTube,Web Dev,Growing,"Web development tutorials; beginner-friendly",https://youtube.com/@codercoder,2,Beginner web dev audience
Clever Programmer,,YouTube,Coding,Growing,"Coding tutorials and career content",https://youtube.com/@cleverprogrammer,3,Aspiring developer audience
Dev Ed,,YouTube,Web Dev/Design,Growing,"Web development with design focus; entertaining",https://youtube.com/@deved,3,Creative dev audience
Gary Simon,@DesignCourse,YouTube,Design/Dev,Growing,"UI/UX and web dev education",https://youtube.com/@designcourse,3,Design-focused dev audience
CodingInPublic,,YouTube,Web Dev,Growing,"Building projects in public; tutorials",https://youtube.com/@codinginpublic,3,Build in public dev audience
CodeSTACKr,@codeSTACKr,YouTube,Web Dev,Growing,"VS Code tips; web development tutorials",https://youtube.com/@codeSTACKr,3,Dev tools audience
